5000 30000
3922 1868 10
3769 2484 8
3270 3332 5
1035 316 6
1385 4652 1
3563 536 2
3110 2530 9
15 4471 6
61 934 9
2246 1572 6
4251 3403 6
4207 3934 3
4971 2068 3
4642 4939 1
2477 1233 5
3604 439 2
1549 3125 1
3846 3690 1
4417 2395 9
1434 2765 6
4219 1097 5
3561 2293 10
4238 1605 6
4733 1193 7
788 325 1
1867 1208 1
525 1082 4
3394 1014 8
4589 169 2
3903 3144 10
4605 607 3
2975 2096 8
3473 864 8
2052 3147 1
3093 961 9
3685 869 9
3034 1247 10
1259 1533 10
2606 1233 5
4492 3062 1
2711 2425 8
146 310 6
1192 1582 10
1478 2208 6
4390 521 9
4026 3777 6
1404 4011 9
4472 4927 7
1524 1600 10
4317 2717 3
3666 3890 3
358 698 10
1779 3425 9
1996 4113 1
932 1032 2
54 2213 1
2308 531 10
4831 700 2
427 1730 1
1391 699 1
1190 134 8
3109 2308 2
4096 1176 4
2562 547 3
3686 2417 7
4661 3384 4
1862 80 9
161 1636 10
71 1091 9
3542 791 6
1535 2957 3
3087 2532 8
388 1887 7
131 1274 4
4485 4833 3
263 1782 5
4571 2301 1
2203 456 10
2618 3392 3
680 2818 10
3301 2094 2
4175 1778 6
137 4134 10
760 1210 8
1324 1823 3
3924 1526 4
2863 3588 6
2825 3867 9
844 3809 8
1244 600 8
2069 285 4
3409 1536 10
3949 3879 5
2151 933 1
2055 4103 4
1821 1437 9
1672 1785 8
4382 458 1
2954 4808 10
2768 2067 1
1424 144 2
946 221 2
1466 342 5
1751 4088 2
3171 2667 9
2170 4515 10
770 3003 1
4384 4961 10
546 1512 2
4716 2810 3
784 656 9
1988 154 10
3966 614 6
685 2208 2
2776 1137 2
2562 2342 3
1332 2042 1
1171 92 9
135 2072 6
653 3834 9
66 3407 10
4170 3643 1
2971 1333 6
1736 1879 4
1066 4451 10
405 2422 9
1906 1054 5
784 360 3
1726 2959 10
2423 314 10
345 3114 2
1274 4329 3
2357 4487 2
1049 4568 10
2110 4116 9
1445 1345 4
1630 4610 10
4118 990 10
1752 3182 5
4594 2842 8
4755 1843 1
1381 4271 7
3085 4547 3
3163 4846 9
1632 1904 1
2926 95 9
2820 4521 2
4842 3156 4
4924 490 2
4832 970 3
3141 3981 10
3923 1668 10
2439 3006 1
1258 2317 6
1791 1 7
1123 3335 10
917 2251 5
4823 4701 9
3520 2851 7
2258 315 3
3010 900 6
1806 3647 8
1378 2975 8
4070 2150 5
3311 855 4
2930 4176 1
3468 239 9
2513 4793 10
4588 766 3
1719 878 4
2502 1304 4
4109 3079 2
3742 405 5
2446 3334 5
2082 200 4
591 4982 1
2667 1677 1
3403 208 6
2648 3919 1
1377 4278 1
2093 3696 9
1435 1457 4
3185 3739 3
4099 1560 3
3684 557 9
810 2791 1
2246 2496 6
2716 3536 10
1518 2798 9
22 2370 7
986 3943 8
132 1711 4
4635 4839 5
3445 4834 5
2926 3444 7
2549 2514 6
4900 2800 4
1638 4452 4
3683 4366 10
2539 95 3
4661 1222 7
3070 1873 2
3157 3850 6
4769 3282 4
4228 3895 3
2432 4096 5
623 217 3
126 2755 9
4464 2148 9
4202 1531 6
2466 43 8
103 1818 5
3005 539 9
2317 2840 4
786 2162 3
421 2878 5
3311 4981 9
3485 449 4
891 571 10
4585 3906 4
3294 3964 7
425 4023 1
4840 4545 4
3302 1826 7
2273 512 8
604 2466 1
228 1892 10
1728 3429 5
1846 1763 3
3724 4172 1
2884 778 4
2419 4787 8
3257 2035 9
3618 2583 10
4453 76 10
3646 3153 9
3107 1359 9
131 1253 5
2467 3588 4
4241 3299 6
973 2038 2
4765 31 3
4778 1916 4
883 146 1
238 2251 6
1477 312 8
681 297 4
977 4630 4
4089 4468 4
2288 4891 2
2644 1522 1
4499 1358 7
1307 1509 2
3656 2153 5
2600 731 8
2280 3117 8
4852 1856 6
2201 4352 1
4125 3998 2
1317 1159 8
1275 4303 7
2244 1641 10
3183 3987 2
1897 1581 10
2272 2996 6
1699 3066 5
2189 3086 4
4203 118 2
3612 4736 2
301 4564 10
1127 1770 2
951 1391 5
3868 3801 3
2419 357 7
3225 1340 3
1047 725 7
3238 721 2
492 1896 3
4053 3354 9
3862 4928 2
4811 948 1
3117 2163 9
1953 3724 2
4922 2130 8
3030 778 3
3844 2091 6
469 1035 10
354 4912 10
92 2077 3
1206 4748 9
520 449 7
2956 1297 7
493 4868 1
687 4067 7
371 4897 6
2956 597 3
2394 401 10
3001 3127 6
2766 3760 2
2370 392 7
4688 3311 1
904 4389 6
3258 378 7
1050 1447 10
1379 3631 7
2381 4140 6
975 3425 8
4313 4970 8
3863 188 7
4136 145 9
1839 699 2
485 364 2
292 85 8
4219 300 3
4403 3331 1
1942 2415 1
576 2770 4
1620 1458 9
2165 3690 9
3587 1716 5
1737 354 10
4547 2661 7
3150 782 6
751 4385 5
907 2491 9
116 953 5
4457 1875 5
1965 3291 1
2567 1514 4
1101 4024 6
415 3521 2
2697 1751 7
4381 2030 7
2475 1153 1
3573 1958 5
1944 2524 5
2764 1991 9
4450 1693 6
2867 2132 8
4098 859 6
1376 4476 7
3155 4283 8
887 1397 5
1102 1098 9
1907 3509 5
3963 3780 7
642 2573 10
1878 2733 7
695 3069 8
3584 1249 10
1785 3320 10
1893 2671 10
4019 668 6
430 243 6
1350 2309 7
2429 296 7
4100 3555 10
4795 4636 7
4664 4683 9
1996 4063 3
3295 3408 4
4158 693 1
2737 410 6
2737 1923 2
3149 420 1
3215 1416 4
4391 3748 4
515 1084 6
2766 2010 4
3546 847 8
2734 893 7
746 4623 4
4680 834 1
333 3061 7
2796 1976 8
3745 234 6
986 4894 2
